totamt,design_no,job_no,diamond_color,diamond_quality,dpcs,dwt,gwt,job_id,memostock,metal_color,metal_quality,metal_type,nwt,size
0,,,,,0,0,0,18881,0,,,,0,
0,,,,,0,0,0,18908,0,,,,0,
0,,,,,0,0,0,18878,0,,,,0,
0,DB-021,14425,,,94,1.76,5.84,18963,0,W,14K,Gold,5.488,7 INCH
0,DB-031_03,17400,D-E-F,VVS-VS,54,5.17,9.4,18890,0,W,14K,Gold,8.366,6.25 INCH
0,DB-031_05,16337,,,48,7.076,9.89,18958,0,Y,14K,Gold,8.475,7 INCH
0,DB-031_06,19239,,,91,1.992,5.1,18988,0,Y,14K,GOLD,4.702,7 INCH
0,DB-031_06,19235,,,91,1.991,4.94,18982,0,Y,14K,GOLD,4.542,7 INCH
0,DB-031_06,19234,,,91,1.984,4.91,18981,0,Y,14K,GOLD,4.513,7 INCH
0,DB-031_06,19236,,,91,2.028,5.28,18985,0,W,14K,GOLD,4.874,7 INCH
0,DB-031_06,19237,,,91,1.992,4.94,18986,0,W,14K,Gold,4.542,7 INCH
0,DB-031_06,19238,,,91,2.018,4.67,18987,0,Y,14K,GOLD,4.266,7 INCH
0,DB-031_08,16342,,,43,9.057,11.29,18959,0,W,14K,Gold,9.479,7 INCH
0,DB-060_0.15,15355,,,44,6.407,10.01,18960,0,Y,14K,Gold,8.729,7 INCH
0,DB-085_2.00,18713,,,56,1.985,6.69,18939,0,W,14K,Gold,6.293,7 INCH
0,DB-091_6.75,17217,,,40,6.916,10.44,18976,0,Y,14K,Gold,9.057,6.75 INCH
0,DB-091_6.75,17505,,,40,6.972,10.28,18969,0,Y,14K,Gold,8.886,7 INCH
0,DB-091_6.75,17506,,,40,7.051,10.6,18970,0,Y,14K,Gold,9.19,7 INCH
0,DB-119,18355,,,15,1.517,2.31,18940,0,Y,14K,Gold,2.007,7 INCH
0,DBG-143,16182,D-E-F,VVS-VS,133,0.825,6.55,18902,0,Y,14K,Gold,5.635,
0,DE-088_B0.50,11742,,,2,0.491,0.98,18905,0,Y,14K,Gold,0.882,
0,DE-092_2.00,15193,,,2,2.05,1.56,18913,0,W,14K,Gold,1.15,
0,DE-092_2.00,15194,,,2,2.01,1.53,18914,0,W,14K,Gold,1.128,
0,DE-092_2.00,15190,,,2,2.09,1.54,18917,0,W,14K,Gold,1.122,
0,DE-092_2.00,15191,,,2,2.01,1.54,18918,0,W,14K,Gold,1.138,
0,DE-092_2.00,15192,,,2,2.06,1.54,18919,0,W,14K,Gold,1.128,
0,DE-092_2.00,15195,,,2,2.13,1.55,18920,0,W,14K,Gold,1.124,
0,DE-092_2.00,18740,,,2,2.06,1.54,18911,0,W,14K,Gold,1.128,PUSH
0,DE-092_2.00,15196,,,2,2.11,1.51,18921,0,Y,14K,Gold,1.088,
0,DE-092_2.00,15198,,,2,2.05,1.51,18922,0,Y,14K,Gold,1.1,
0,DE-092_2.00,13654,,,2,2.061,1.5,18901,0,Y,14K,Gold,1.088,
0,DE-113_8.00,16804,,,78,7.83,16.87,18943,0,W,14K,Gold,15.304,
0,DE-113_8.00,16805,,,76,7.64,17.2,18984,0,W,14K,Gold,15.672,
0,DE-116_1.00,18131,,,6,1.069,1.6,18974,0,Y,14K,Gold,1.386,
0,DE-154,15116,,,6,2.013,2.46,18961,0,Y,14K,Gold,2.057,
0,DE-173,15143,,,42,0.273,1.69,18945,0,W,14K,Gold,1.635,
0,DE-173,15210,,,42,0.269,1.62,18980,0,Y,14K,Gold,1.566,
0,DE-173,15139,,,42,0.27,1.66,18949,0,Y,14K,Gold,1.606,
0,DE-173,15211,,,42,0.271,1.73,18948,0,W,14K,Gold,1.676,
0,DE-173,15142,,,42,0.27,1.72,18950,0,W,14K,Gold,1.666,
0,DE-173,15138,,,42,0.267,1.67,18944,0,Y,14K,Gold,1.617,
0,DE-173,15137,,,42,0.307,1.64,18962,0,Y,14K,Gold,1.579,
0,DE-225_2.00,13808,,,4,2.088,1.9,18887,0,W,14K,Gold,1.482,
0,DE-228,17562,,,50,1.988,4.43,18968,0,Y,14K,Gold,4.032,
